epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.78,1.50713,2.25536,1.37925,0.89732,0.49328,0.5484,0.32311,1.45988,1.3626,1.36402,0.000474428,0.000474428,0.000474428
2,424.418,1.44384,1.41388,1.33281,0.89707,0.49824,0.55036,0.32297,1.44836,1.10122,1.35509,0.000941349,0.000941349,0.000941349
3,600.905,1.43495,1.17076,1.33588,0.912,0.50637,0.56826,0.33379,1.43883,0.99421,1.3508,0.00139884,0.00139884,0.00139884
4,785.5,1.41041,1.07558,1.32997,0.93178,0.51207,0.57658,0.34991,1.43921,0.95261,1.35074,0.00138656,0.00138656,0.00138656
5,1072.53,1.39568,1.002,1.31381,0.92728,0.52283,0.58086,0.35535,1.39158,0.91686,1.32543,0.00137241,0.00137241,0.00137241
6,1237.68,1.37431,0.95644,1.30736,0.93364,0.54229,0.59417,0.37175,1.36004,0.87837,1.31904,0.00135826,0.00135826,0.00135826
7,1377.18,1.35363,0.90869,1.29495,0.94322,0.54268,0.60708,0.37901,1.35185,0.81723,1.31175,0.00134412,0.00134412,0.00134412
8,1517.03,1.33803,0.88897,1.28899,0.93066,0.54456,0.60017,0.37877,1.34451,0.80286,1.32016,0.00132997,0.00132997,0.00132997
9,1705.73,1.33782,0.86476,1.28472,0.9432,0.55731,0.61303,0.37909,1.37649,0.77476,1.33125,0.00131582,0.00131582,0.00131582
10,1858.46,1.33449,0.86591,1.2818,0.94,0.56145,0.61471,0.393,1.33556,0.75235,1.31001,0.00130168,0.00130168,0.00130168
11,2014.64,1.32191,0.83868,1.27935,0.9344,0.54507,0.60536,0.3827,1.33118,0.77329,1.32008,0.00128753,0.00128753,0.00128753
12,2271.81,1.32358,0.84109,1.27589,0.92604,0.57355,0.60968,0.38937,1.32715,0.72695,1.29077,0.00127338,0.00127338,0.00127338
13,2498.87,1.30888,0.81871,1.26739,0.92575,0.56432,0.61264,0.37878,1.36684,0.75499,1.32761,0.00125923,0.00125923,0.00125923
