epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,273.825,2.00679,5.8497,2.10344,0.33491,0.28698,0.23089,0.09358,1.95806,2.66852,2.07043,0.00998099,0.003327,0.00998099,0.003327,0.00998099,0.003327,0.00998099,0.003327
2,511.921,1.93182,3.56603,2.02614,0.28763,0.29442,0.24352,0.09862,2.04441,2.68965,2.17293,0.0197832,0.00659439,0.0197832,0.00659439,0.0197832,0.00659439,0.0197832,0.00659439
3,727.795,2.00773,2.80895,2.12138,0.28749,0.26307,0.19191,0.07362,2.17282,2.83983,2.35485,0.0293874,0.00979579,0.0293874,0.00979579,0.0293874,0.00979579,0.0293874,0.00979579
4,970.705,2.0207,2.63205,2.1711,0.30853,0.36368,0.27794,0.11082,2.03326,2.53559,2.2542,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1189.43,1.95667,2.4643,2.1191,0.40698,0.34866,0.30181,0.12554,1.97287,2.3907,2.18708,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1400.54,1.9109,2.36222,2.09495,0.39241,0.40359,0.34689,0.14589,1.92605,2.26552,2.13567,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1606.77,1.88194,2.27673,2.04901,0.40083,0.43235,0.38086,0.16853,1.89348,2.18947,2.08176,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1821.42,1.85666,2.21601,2.04059,0.41485,0.47147,0.40203,0.17854,1.8533,2.07446,2.06315,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2171.3,1.83584,2.13886,2.0008,0.43533,0.48081,0.42521,0.18954,1.86751,2.031,2.02482,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2389.34,1.81512,2.10199,1.98102,0.44082,0.47365,0.43128,0.19735,1.84984,2.02748,2.05228,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2609.12,1.80032,2.05354,1.97511,0.4508,0.49656,0.43933,0.20371,1.81208,1.95584,2.0208,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2830.38,1.78984,2.02406,1.96368,0.5105,0.48392,0.4646,0.21281,1.8203,1.93138,2.00152,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3050.94,1.78032,1.98469,1.96087,0.44535,0.4735,0.44637,0.20565,1.81075,1.9586,2.02199,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3272.32,1.75924,1.94602,1.931,0.47223,0.51395,0.48113,0.22065,1.80425,1.86854,1.99378,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3484.79,1.7487,1.9232,1.93263,0.50127,0.51647,0.48418,0.22625,1.78977,1.88097,1.98684,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3698.25,1.7455,1.89169,1.9254,0.49906,0.52485,0.49782,0.23768,1.78775,1.81606,1.96854,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3908.32,1.73785,1.86816,1.91277,0.48264,0.53028,0.48953,0.22875,1.78675,1.82196,1.95842,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4122.03,1.7245,1.84893,1.90349,0.50442,0.53717,0.50834,0.24339,1.76259,1.79785,1.94782,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4336.47,1.71547,1.82474,1.89423,0.53041,0.534,0.50753,0.24314,1.75946,1.78634,1.94949,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4548.48,1.70891,1.80391,1.89226,0.53922,0.53432,0.51028,0.2435,1.7773,1.75489,1.94975,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4759.02,1.70157,1.77452,1.87804,0.54167,0.54085,0.53369,0.25562,1.7834,1.75623,1.95601,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4971.12,1.69564,1.76751,1.87639,0.5301,0.53639,0.52237,0.24721,1.76628,1.74432,1.95173,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5183.81,1.68223,1.75299,1.86362,0.54043,0.52454,0.52007,0.24849,1.7532,1.74282,1.93024,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5395.6,1.68124,1.71851,1.85737,0.53461,0.54652,0.535,0.25823,1.76778,1.71435,1.94456,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5608.12,1.66959,1.69787,1.84839,0.53404,0.5613,0.53728,0.25721,1.77035,1.7016,1.94247,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5821.4,1.66449,1.69159,1.83776,0.54271,0.56218,0.54584,0.26299,1.75009,1.69367,1.93526,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6033.73,1.65684,1.67172,1.83918,0.56698,0.54404,0.55343,0.26964,1.74426,1.68664,1.93346,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6247.28,1.65033,1.65227,1.83127,0.55216,0.54547,0.55125,0.2676,1.75207,1.67413,1.93949,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6460.94,1.64651,1.65552,1.8284,0.57069,0.55897,0.55987,0.26874,1.75055,1.67056,1.92815,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6673.24,1.63811,1.63069,1.81586,0.5606,0.5654,0.57068,0.27562,1.74556,1.66185,1.9197,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6887.45,1.63818,1.6195,1.80987,0.56958,0.56843,0.56966,0.27761,1.73242,1.6453,1.91006,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7100.22,1.61622,1.60147,1.80792,0.5644,0.56158,0.57217,0.28181,1.74013,1.62319,1.91557,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7313.11,1.62109,1.5867,1.80133,0.56068,0.57735,0.56965,0.2768,1.73839,1.6055,1.9299,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7526.02,1.60869,1.56838,1.78872,0.58822,0.57622,0.58838,0.28953,1.73556,1.61408,1.92447,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7742.45,1.60664,1.5593,1.79365,0.59174,0.57619,0.58041,0.28775,1.74446,1.59589,1.91946,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7952.34,1.60276,1.54143,1.77615,0.59604,0.57336,0.57617,0.28633,1.73786,1.59123,1.91609,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8164.26,1.59325,1.52441,1.77967,0.58144,0.57436,0.58793,0.29262,1.72354,1.57888,1.89703,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8374.41,1.58567,1.50836,1.77135,0.59258,0.56206,0.58821,0.29175,1.73908,1.5914,1.91654,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8586.86,1.58333,1.50492,1.77031,0.58057,0.57948,0.59101,0.28834,1.7392,1.57347,1.9217,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
