epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,574.106,2.21129,3.88039,3.32429,1.72315,0,0.18807,0.14558,0.08261,0.03168,0.14839,0.10594,0.04959,0.01366,2.24322,3.72085,2.80014,1.77523,0,0.009996,0.003332,0.009996,0.003332,0.009996,0.003332,0.009996,0.003332
2,1093.35,2.2198,3.77123,2.88088,1.71457,0,0.17844,0.12215,0.07139,0.02593,0.14019,0.08262,0.04032,0.01071,2.29305,3.74171,2.84437,1.81018,0,0.019798,0.00659935,0.019798,0.00659935,0.019798,0.00659935,0.019798,0.00659935
3,1575.28,2.26012,3.81226,2.90494,1.7609,0,0.16405,0.13219,0.06832,0.02676,0.13651,0.09223,0.04072,0.01122,2.26449,3.74696,2.89004,1.82208,0,0.0294021,0.00980069,0.0294021,0.00980069,0.0294021,0.00980069,0.0294021,0.00980069
4,2046.84,2.24801,3.77745,2.86607,1.7589,0,0.23056,0.16832,0.10629,0.04077,0.18799,0.12004,0.06437,0.01714,2.19254,3.59773,2.66448,1.76352,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2516.11,2.1749,3.69072,2.73929,1.70653,0,0.26161,0.17625,0.12542,0.05148,0.21106,0.13248,0.08204,0.024,2.10368,3.49899,2.57604,1.7184,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2986.82,2.12592,3.62715,2.65219,1.66893,0,0.26363,0.19002,0.13939,0.05771,0.22172,0.14651,0.09308,0.02768,2.09118,3.45678,2.52893,1.68814,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3455.86,2.10166,3.59889,2.61025,1.64495,0,0.29312,0.19577,0.15021,0.06336,0.2447,0.15461,0.10027,0.03004,2.04864,3.42733,2.47047,1.64283,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3926.14,2.07562,3.56431,2.56182,1.62547,0,0.2977,0.21565,0.16348,0.07025,0.25012,0.16992,0.11132,0.03358,2.02296,3.3773,2.41312,1.63363,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4397.49,2.06028,3.53409,2.5322,1.61188,0,0.29797,0.21813,0.17048,0.07391,0.25483,0.1704,0.11837,0.03689,2.00098,3.34948,2.38807,1.60715,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4867.79,2.04177,3.51446,2.50467,1.59661,0,0.31592,0.22913,0.18167,0.07997,0.27041,0.18409,0.12675,0.03946,1.97947,3.32504,2.35664,1.59472,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5338.51,2.03326,3.50401,2.48381,1.58858,0,0.32282,0.23403,0.18864,0.08368,0.28202,0.18893,0.13571,0.0424,1.9656,3.3007,2.3207,1.58521,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5808.81,2.0243,3.49024,2.46184,1.5819,0,0.32955,0.23731,0.1926,0.08668,0.27977,0.18738,0.13673,0.04281,1.95005,3.29013,2.30131,1.56745,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6279.54,2.01221,3.47547,2.44209,1.56797,0,0.33043,0.2481,0.19783,0.08899,0.29098,0.19647,0.14133,0.04462,1.94074,3.2716,2.28349,1.561,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6739.71,2.00451,3.45634,2.43491,1.5686,0,0.34007,0.24776,0.20515,0.093,0.29045,0.20354,0.14865,0.04772,1.92524,3.25903,2.26841,1.54889,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7209.23,2.00093,3.45437,2.41502,1.56054,0,0.33357,0.24965,0.20593,0.09401,0.29323,0.20165,0.14895,0.04745,1.92058,3.24866,2.25481,1.54328,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7679.74,1.99179,3.43548,2.40423,1.55131,0,0.34454,0.25826,0.2123,0.09723,0.29604,0.21074,0.15318,0.04885,1.91241,3.23446,2.23869,1.53607,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8152.59,1.98399,3.43705,2.39516,1.549,0,0.35253,0.25315,0.21392,0.09815,0.30953,0.20467,0.15525,0.04978,1.90631,3.22915,2.23161,1.53514,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,8623.44,1.97905,3.42407,2.38458,1.54503,0,0.34918,0.25883,0.21611,0.099,0.31052,0.2072,0.15769,0.05011,1.89868,3.22244,2.22223,1.52985,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,9092.83,1.97165,3.41359,2.37002,1.53791,0,0.34592,0.26156,0.21755,0.10051,0.30836,0.20931,0.16052,0.05116,1.89689,3.21401,2.21565,1.52588,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,9562.65,1.96669,3.41593,2.36302,1.53169,0,0.34955,0.25959,0.22004,0.10134,0.3076,0.21141,0.16016,0.0515,1.8917,3.20737,2.20666,1.51926,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,10032,1.96769,3.406,2.35019,1.52922,0,0.3564,0.26151,0.22254,0.10258,0.3105,0.21511,0.16248,0.05247,1.88952,3.20297,2.1977,1.51661,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,10501,1.96392,3.39467,2.34815,1.52813,0,0.35848,0.26365,0.2255,0.10381,0.31633,0.21541,0.16501,0.05319,1.88762,3.19846,2.19117,1.51592,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,10971.4,1.95252,3.38649,2.33081,1.52275,0,0.36058,0.26478,0.22643,0.10462,0.31712,0.21795,0.16652,0.05378,1.88429,3.19567,2.18505,1.51363,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,11441.8,1.95442,3.38839,2.32925,1.52032,0,0.35969,0.26301,0.22686,0.10503,0.31822,0.21733,0.1667,0.05386,1.88006,3.19105,2.18145,1.50993,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,11913.1,1.94723,3.37876,2.31515,1.5129,0,0.36056,0.26413,0.22707,0.10515,0.31939,0.2177,0.16734,0.05389,1.87748,3.18877,2.17769,1.50768,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,12383.6,1.94021,3.37154,2.31177,1.51384,0,0.36184,0.26466,0.22892,0.10613,0.32141,0.21825,0.16935,0.05449,1.87483,3.1849,2.17349,1.50569,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,12854.8,1.93809,3.36176,2.30356,1.50799,0,0.36379,0.26702,0.2305,0.10678,0.32366,0.21875,0.17103,0.05471,1.87259,3.18236,2.17126,1.50404,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,13326.3,1.93646,3.36173,2.298,1.50995,0,0.36269,0.2695,0.23172,0.10759,0.32269,0.22046,0.1718,0.05509,1.87148,3.18072,2.16725,1.50371,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,13796.8,1.93144,3.36167,2.29246,1.50591,0,0.36702,0.26981,0.23274,0.10824,0.3215,0.22154,0.17208,0.05547,1.86912,3.17802,2.16293,1.502,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,14268.4,1.93694,3.35713,2.28954,1.50195,0,0.36577,0.27257,0.23412,0.10885,0.32154,0.22322,0.17313,0.05577,1.8666,3.17651,2.16,1.49981,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
